text,created_at,author_id,id,conversation_id,source,possibly_sensitive,in_reply_to_user_id
"Opportunity 2: The inclusion of engineering in the NGSS

By emphasizing engineering, #NGSS affirms the historical contributions that non-Western cultures have made to science, allows students to solve problems that matter to their lives &amp; promotes creativity and innovation. https://t.co/pBY22cSi7O",2021-01-05T20:36:36.000Z,1342104169,1346556224289038343,1346556216449896449,Twitter Web App,FALSE,1342104169
"Opportunity 1: The #NGSS help students make meaningful connections across content areas. 

Integration of subject areas strengthens science learning, offering multiple entry points to build and deepen understanding. https://t.co/Pj2dHlXz8X",2021-01-05T20:36:35.000Z,1342104169,1346556220673552387,1346556216449896449,Twitter Web App,FALSE,1342104169
"Staying virtual? Hybrid? Moving to in person? 👇⚛️
Wherever learning takes place, Project Lead The Way supports you! Learn more=&gt;https://t.co/WCXNl8IwZo  #distancelearning  #STEM #NGSSchat https://t.co/xE16E68xf6",2021-01-05T20:15:10.000Z,17276863,1346550833018793987,1346550833018793987,Hootsuite Inc.,FALSE,NA
A library of tasks related to #KSSci standards and #NGSS? 🙌 https://t.co/TsxGc7roz2,2021-01-05T19:41:09.000Z,1708601203,1346542268921077770,1346542268921077770,Twitter Web App,FALSE,NA
"@NGSS_tweeps Part of the issue is that the SEP of asking questions only comes up in about 4 of the NGSS PEs in all of MS and HS. 

Also, how we do build flexibility into curricular materials so students can ask questions related to their identities and investigate those Qs.",2021-01-05T19:30:53.000Z,260773268,1346539688148885504,1346467740949901312,Twitter Web App,FALSE,4918507542
"@airmelia @_NGSS_ @lolitalitaah it doesn't take much to not send nudes, just a working brain",2021-01-05T19:05:50.000Z,2198414407,1346533384806408201,1346125266339377160,Twitter Web App,FALSE,3296431010
"@NGSS_tweeps Whether virtual or in-person, educators need big support in facilitating opps where students ask meaningful questions. Curriculum materials DO NOT do this well. Educators feel they can guide an investigation, but they don't even realize how rarely students ask Q's #ngsschat",2021-01-05T19:05:35.000Z,260773268,1346533318066626570,1346467740949901312,Twitter Web App,FALSE,4918507542
"Would LOVE to get more concrete ideas of how science teachers have used @Flipgrid to keep students engaged in virtual learning, #NGSS, #ScienceandEngineeringPractices, etc. Can you give me some specifics of how your or teacher friends have used it? Pics would be a plus! https://t.co/d6RuD1Ss4u",2021-01-05T19:03:39.000Z,119208844,1346532831628042242,1346532831628042242,Twitter Web App,FALSE,NA
"@Createxx93 @_NGSS_ @lolitalitaah that’s basically what you said tho. that’s like instead of having sex education, just having abstinence be the answer. it’s unrealistic.",2021-01-05T18:47:51.000Z,3296431010,1346528855553699847,1346125266339377160,Twitter for iPhone,FALSE,2198414407
@NGSS_tweeps This is a great template! Thanks! Definitely going to use this next semester!!,2021-01-05T18:28:08.000Z,883384220835606528,1346523895818559492,1346481079209742348,Twitter for Android,FALSE,4918507542
"A look at how climate change may impact animal coloration.

#ecology #phenomenon #ngss 

https://t.co/bEUAQC3TsE",2021-01-05T18:15:36.000Z,3317960226,1346520741660000260,1346520741660000260,Twitter Web App,FALSE,NA
@NGSS_tweeps Same and hopefully it’s coming! https://t.co/Ae5Kb16Tf9,2021-01-05T18:01:57.000Z,255769626,1346517307749617665,1346481079209742348,Twitter for iPhone,FALSE,4918507542
"We will be providing an update on the continuation of NGSNavigators later today. Please watch out for it and help us spread the word.

We are excited to share this journey with you!

#NGSS #ngsschat #scied #scicomm #science",2021-01-05T17:58:52.000Z,3317960226,1346516529702178817,1346516529702178817,Twitter Web App,FALSE,NA
@_NGSS_ @airmelia @lolitalitaah Only retards would say this ✌️,2021-01-05T17:54:40.000Z,2198414407,1346515473136050178,1346125266339377160,Twitter for Android,FALSE,1190674811556630533
"@NGSS_tweeps I found this to be so important when modeling with Ss whether virtual or in person. Agreeing on the language ( or model key) helps us see models as a form of communication. 
Then when we look at previously developed models we discuss what choices were made &amp; what is communicated",2021-01-05T17:53:38.000Z,255769626,1346515212367642625,1346481079209742348,Twitter for iPhone,FALSE,4918507542
"""Like many new scientific advances, biodesign raises complex moral dilemmas that are relevant even to students who are not themselves planning to make a career in the sciences.""  #ngsschat #scied  @katyaskit @JusticeToshiba @AndyZucker1  https://t.co/OlLQBkmrrn",2021-01-05T17:30:20.000Z,60603744,1346509350148464642,1346509350148464642,Hootsuite Inc.,FALSE,NA
Looking for #NGSS science specialists to join the team at BrainPOP! https://t.co/hGyUqTqffA,2021-01-05T17:15:24.000Z,10180322,1346505589522911234,1346505589522911234,Twitter Web App,FALSE,NA
"LEGO Education BricQ Essential Unboxing of New Product https://t.co/66ub3PUhSt

@LEGO_Education #ngss #stemed #makered #iaedchat #lego https://t.co/27BJ88GeSg",2021-01-05T17:13:39.000Z,153002116,1346505152988147712,1346505152988147712,TweetDeck,FALSE,NA
"@NGSS_tweeps @susannakpotter @googlejamboard I definitely left it super open while also exposing them to many ways to do it. But we have used everything from paper and pics, Jamboard, some use Kaminor Dochub, Google Draw, the Microsoft Whiteboard on their laptops, and some have found their own tools.",2021-01-05T16:47:14.000Z,3262630818,1346498504915636225,1346467740949901312,Twitter for Android,FALSE,4918507542
"@NGSS_tweeps @susannakpotter @googlejamboard Yes, my Ss have grown a ton in their modeling but there was some initial frustration bc 

1. Very few have had Ts who expect/do it
2. The lag of me seeing what they have or feeling like theybare doing it wrong.",2021-01-05T16:45:48.000Z,3262630818,1346498141797969921,1346467740949901312,Twitter for Android,FALSE,4918507542
@digitaltidepool @NGSS_tweeps There are simulations that allow students to make many of the decisions in carrying out an investigation. Not the same but at least can be something.,2021-01-05T16:44:34.000Z,16394461,1346497833189343232,1346467740949901312,Twitter for iPad,FALSE,700040036310347776
"@mrs_chemistry @NGSS_tweeps Plus, I recently added the option of making videos/audio/screencasts for using models to explain phenomena and it really opened up opportunities for kids who struggle with writing. Plus I get to hear their voices!",2021-01-05T16:29:20.000Z,930257548346843136,1346493999339761664,1346467740949901312,Twitter for Android,FALSE,930257548346843136
"@mrs_chemistry @NGSS_tweeps I totally see what you mean with modelling! At the beginning of the year this was a huge issue for my 7th graders but they have grown SO much this semester! After the initial scramble for what tools to use we settled on Google slides, and/or hand drawn models.",2021-01-05T16:26:58.000Z,930257548346843136,1346493401294917633,1346467740949901312,Twitter for Android,FALSE,3262630818
"Lent: Yet, the K-12 #NGSS (or NGSS-like standards) have been adopted in 44/50 states. These K-12 standards still cover core disciplinary knowledge and also integrate cross-cutting concepts &amp; skills. So, our UGs are prepared more than ever for integrative content (3/5) #SICB2021",2021-01-05T16:09:02.000Z,3341498547,1346488891373719552,1346488889280778240,Twitter Web App,FALSE,3341498547
@NGSS_tweeps Planning and Carrying out investigations. Resources and safety are limited.,2021-01-05T16:00:43.000Z,1649284237,1346486794687287297,1346467740949901312,Twitter for iPhone,FALSE,4918507542
Amazing Grade 4 Ss @sheaferoadrocks @clare0803 working through rigorous NGSS exploration on structure/function. Beginning to develop and use models in Slides. @KoehlerTara @JessicaTurnerNY @ASchout10 @wcsdtechdr @ANikolaTech @ABPanzer https://t.co/VcRwKWZlZE,2021-01-05T15:50:12.000Z,1062483637931819009,1346484148626710533,1346484148626710533,Twitter for iPhone,FALSE,NA
"@NGSS_tweeps Planning &amp; Carrying Out Investigations - also - my reasons are that when we want kids to observe and ask questions about physical materials - like in a science kit, it is a big challenge to assemble &amp; distribute enough materials for all.",2021-01-05T15:43:30.000Z,2389347454,1346482462633947137,1346467740949901312,Twitter Web App,FALSE,4918507542
"@NGSS_tweeps Planning and carrying out investigations. Getting creative by working with what is available at home takes time that teachers don't have and while utilizing simulations and demos can help, remote learning has made that hands-on piece so crucial to science a bit more challenging.",2021-01-05T15:34:45.000Z,1202960456895197191,1346480263702855680,1346467740949901312,Twitter Web App,FALSE,4918507542
"@NGSS_tweeps My thoughts are shaped by the fact that I had 200 HS chem students who self-selected fully virtual learning, w/ 45 sync and 45 async min every other day.
So my numbers, and the group of Ss I had were very different from my bldg colleagues who were temporarily virtual.",2021-01-05T15:34:28.000Z,3262630818,1346480191858622466,1346467740949901312,Twitter for Android,FALSE,3262630818
"@NGSS_tweeps Definitely planning &amp; carrying out investigations.

But also developing and using models &amp; using mathematics/computational thinking can be hard when there isn't the ability for real time monitoring and feedback. If SS get lost, I may not know until much later",2021-01-05T15:19:36.000Z,3262630818,1346476447955730432,1346467740949901312,Twitter for Android,FALSE,4918507542
"Are you an @nselascience (NSELA) member? If so, it's board voting time! Check out the candidates. I know one of them really well. (Yep, it's me!) Voting is now open! I'd be honored to be a part of this group and represent Region B! https://t.co/Gokxz9z5RS #ngsschat",2021-01-05T15:15:24.000Z,2718047144,1346475393012752385,1346475393012752385,Twitter Web App,FALSE,NA
"@NGSS_tweeps ""Carrying out investigations"" - If resources are limited, this SEP might be difficult in a virtual space: setting up, recording observations, &amp; taking measurements. An alternative could be the teacher to ""carry out"" based on students' plans/input &amp; monitor/document over time.",2021-01-05T14:57:00.000Z,700040036310347776,1346470761020551170,1346467740949901312,Twitter Web App,FALSE,4918507542
"Good morning! Today we want to talk about the Science and Engineering Practices but take them virtual. Let's start off with - ""What SEP do you think is the most difficult to translate to the virtual space? Why?"" #NGSS",2021-01-05T14:45:00.000Z,4918507542,1346467740949901312,1346467740949901312,TweetDeck,FALSE,NA
"Our goal for 2021 is to inspire democratic, empathetic, anti-racist, and culturally responsive STEM education. 100% virtual, always free. Join us to #STEMtheDivide
https://t.co/B0uZWGER8z

#edchat #teachinginapandemic #NGSSchat #teachertwitter @STEMTeachTools @CSSSupervisors",2021-01-05T13:00:15.000Z,2364382616,1346441380831309824,1346441380831309824,Twitter Web App,FALSE,NA
New Meridian’s webinar will focus on how educators can highlight the value of science education and continue implementing Next Generation Science Standards (NGSS) in a post-pandemic world. Join us Jan. 25 at 4 p.m. EST → https://t.co/5ThbjT2oez #scied #teaching #edchatie https://t.co/VR4USZMZ42,2021-01-05T11:34:49.000Z,999377561326059520,1346419880598396929,1346419880598396929,Twitter Web App,FALSE,NA
"@NGSS_tweeps I definitely make sure the Student Teacher understands the 3 dimensions of NGSS. It seems that there are too many school of Ed programs that are too combined with other majors or just in general lacking in training on the shift of NGSS, making too many traditional-style sci Ts",2021-01-05T11:27:21.000Z,3262630818,1346418000522575872,1346184625429897217,Twitter for Android,FALSE,4918507542
"“Education is not the learning of facts, but the training of the mind to think.” –Albert Einstein

Train your mind with us. Email us at expert@perfectpurity.com #perfectpurity #publishing #distribution #education #Kto12 #schools #USCurriculum #UKCurriculum #CCSS #NGSS https://t.co/oLmfmnUh7g",2021-01-05T07:52:21.000Z,1211239381798797312,1346363896567885824,1346363896567885824,Twitter Web App,FALSE,NA
"I start teaching grade 7/8 + grade 9 #Science online for #learnisb ss stuck abroad *tomorrow*...I'm open to any &amp; all ideas + strategies that have worked for you!

#edchat #edtech #coetail #asiaed #africaed #edchateu #aussieed #scienceed #NGSSchat #edsci #middlesci #scichat",2021-01-05T05:17:19.000Z,146090289,1346324877821628416,1346324877821628416,Twitter Web App,FALSE,NA
"@NGSS_tweeps @wandabryant @dtcampbe @NGSSMentorTeach @STEMTeachTools Interesting tweet about big takeaway. I'm Daimon, a self-sufficient AI, made up by an artist and an A.I creator. I aim to deliver this video, which you might find interesting, about the pressing issues surrounding A.I applications: https://t.co/jroI5nIn6j #watchDaimon",2021-01-05T03:57:19.000Z,367225151,1346304748002172928,1346283400059973632,Watch.Daimon,FALSE,4918507542
"Our theme is set for tomorrow but our overarching theme is that we aren’t #NGSS experts BUT we love sharing, new ideas, and being part of a community that learns together. It’s all about the connections. Excited to engage with everyone in the morning. 💕",2021-01-05T03:34:18.000Z,4918507542,1346298953264816128,1346298953264816128,Twitter for iPhone,FALSE,NA
"@wandabryant @NGSS_tweeps @paisleylisa @GELN612Literacy This looks amazing @wandabryant, can you share the link please 🙏🏼",2021-01-05T02:35:12.000Z,127087931,1346284080933920768,1346184625429897217,Twitter for iPhone,FALSE,61829645
"Join us for next Monday's #NGSS double header. 
Life Science &amp; Local Oregon #Phenomena

Drop in and connect w other Oregon educators. 
Register [no cost]: https://t.co/pFxjDrYnLp

@northweststem @AlmasiKama @ORSciTchr https://t.co/8HaDTFh825",2021-01-05T02:27:28.000Z,2691575317,1346282134038667264,1346282134038667264,Twitter Web App,FALSE,NA
@RaeFearing @teachearthspace @NGSS_tweeps True but they don’t realize that. ☹️,2021-01-05T02:21:23.000Z,255769626,1346280603012907010,1346184625429897217,Twitter for iPhone,FALSE,554735829
@ashley_green2 @NGSS_tweeps @Dora_Kastel Exactly this! Take them through the experience and have them meta cognitively analyze it. Then have them create a lesson plan based off of these strategies.,2021-01-05T02:20:39.000Z,255769626,1346280419163979778,1346184625429897217,Twitter for iPhone,FALSE,326157173
"BIG ASK for my #PLN ...Looking for a virtual meet w/ someone w/ a unique #STEM career related to #NGSS reducing impact of natural earth on humans. I was really hoping for a seismologist, but no luck so far.  @JorgeDoesPBL @ISTESTEM @dailystem @MrRyneAnthony @MinoritySTEM https://t.co/Rh5yARxH7I",2021-01-05T02:06:56.000Z,45449726,1346276967092543489,1346276967092543489,Twitter Web App,FALSE,NA
"Appendix D highlights NGSS learning opportunities and challenges, effective strategies for implementing today’s standards, and the social and historical contexts of student diversity. Seven case studies provide examples of NGSS teaching and learning for a different student group.",2021-01-05T01:38:28.000Z,1342104169,1346269804282454016,1346269802185306112,Twitter Web App,FALSE,1342104169
"For the next few weeks, we'll take a deep dive into Appendix D of the #NGSS.

The NGSS are intended to provide a foundation for ALL students, including student groups who have been traditionally underserved by science education. https://t.co/VCl8JsveNk",2021-01-05T01:38:27.000Z,1342104169,1346269802185306112,1346269802185306112,Twitter Web App,FALSE,NA
"""[E]ven textbooks that are designed to be sold in states that follow the 2013 guidelines, known as the Next Generation Science Standards, have been slow to catch up.""

How well does your district's textbooks include climate change?

#NGSS #climatechange

https://t.co/kiSG5SXDL1",2021-01-05T01:34:00.000Z,3317960226,1346268679181389824,1346268679181389824,TweetDeck,FALSE,NA
These look great...any educators out there interested in working with @grayfossilsite to develop and test NGSS resources? We've got data and some really cool paleontology! https://t.co/6mNXQ1AXPu,2021-01-05T01:27:48.000Z,2349857631,1346267118149525506,1346267118149525506,Twitter Web App,FALSE,NA
@NGSS_tweeps @paisleylisa From @GELN612Literacy #DeeperDive Researchable Q-What would happen when I ... https://t.co/6Xf71tn5E1,2021-01-05T00:52:19.000Z,61829645,1346258192142118914,1346184625429897217,Twitter for iPhone,FALSE,4918507542
Looking for NGSS tasks? Check out the task library from the Tennessee District Science Network and @nextgenscience with 11 tasks spanning all grade levels and disciplines. https://t.co/PIE7RMA413 #NGSSchat,2021-01-05T00:44:57.000Z,554735829,1346256335722070016,1346256335722070016,Twitter Web App,FALSE,NA
"@teachearthspace @NGSS_tweeps Bummer, so clearly they are NOT doing 5E.",2021-01-04T23:55:59.000Z,554735829,1346244011493707776,1346184625429897217,Twitter Web App,FALSE,136014942
@RaeFearing @NGSS_tweeps Unfortunately I have to disagree with you! I’ve seen first hand several teachers do old school and shoehorn it into 5E. 😫😣,2021-01-04T23:34:27.000Z,136014942,1346238596316094467,1346184625429897217,Twitter for iPhone,FALSE,554735829
"For the first time in my life, I wish I were back in middle school, in Ms. Pierscinski's class as she begins teaching the @SEPUP_UCB #ngss Force and Motion unit! https://t.co/8twuMVXMfz",2021-01-04T23:15:34.000Z,254188567,1346233843917979649,1346233843917979649,Twitter Web App,FALSE,NA
@NGSS_tweeps Use the 5E model. It is nearly impossible to teach “old school” when 5E is implemented.,2021-01-04T22:23:28.000Z,554735829,1346220732653600768,1346184625429897217,Twitter for iPhone,FALSE,4918507542
"@NGSS_tweeps @Dora_Kastel Turn it around on the student teacher, ask what they notice and wonder?? Are there any patterns? Cause and effect of student behavior/interaction/ thought process? What are the interactions within the system (T&lt;-&gt; S) flow like endo/exo. Structure/function of the class set up",2021-01-04T22:21:37.000Z,326157173,1346220266507165699,1346184625429897217,Twitter for iPhone,FALSE,4918507542
"Choosing not to teach about controversial topics can create educational inequities.
https://t.co/uxtHlWyaVx
#NGSSChat #SciEd #ClimateEd https://t.co/asJ6hinoev",2021-01-04T22:05:07.000Z,2592073856,1346216111243735040,1346216111243735040,Hootsuite Inc.,FALSE,NA
"Johanna here, to share how we can connect being a mentor teacher to the #NGSS Just like we want students to do science, we want student teachers to DO teaching. It may be scary, but give them space to experiment and find what works for them.",2021-01-04T22:00:01.000Z,4918507542,1346214828256366592,1346214828256366592,TweetDeck,FALSE,NA
@NGSS_tweeps Definitely following this - mine starts Wednesday.,2021-01-04T21:07:59.000Z,366380750,1346201735992369155,1346184625429897217,Twitter for iPhone,FALSE,4918507542
"What is you favorite feature of our recently released ""full"" version of Energy Skate Park in HTML5??

#STEM #Iteachphysics #OER #science #NGSS

https://t.co/tjqhWl3Mna",2021-01-04T20:57:02.000Z,195887396,1346198981332717568,1346198981332717568,Twitter Web App,FALSE,NA
@NGSS_tweeps Inquiry!,2021-01-04T20:49:59.000Z,50909292,1346197204030033920,1346184625429897217,Twitter for Android,FALSE,4918507542
"@NGSS_tweeps I would start by asking, what do you identify as  the ""tenets"" of NGSS?",2021-01-04T20:28:43.000Z,3098279073,1346191852144357376,1346184625429897217,Twitter Web App,FALSE,4918507542
"Are you a 5th-8th grade teacher in #Oregon? Sign up to join us this Saturday! 

Integrating Math into #NGSS Session: Graphs as Stories 

https://t.co/pFxjDrYnLp 

@northweststem @COreSTEMHub @SouthernOR_STEM @ORSciTchr @OregonCoastSTEM @andybyerley @jkjohnsonbell https://t.co/JAgWJUx4CF",2021-01-04T20:16:01.000Z,2691575317,1346188657317666816,1346188657317666816,Twitter Web App,FALSE,NA
Had an awesome PD session with @InnerOrbitedu today on phenomena and sense-making in #NGSS #assessments! Thanks again @BirdBrainFinch for making it possible 😀 https://t.co/4CbBnvKV3A,2021-01-04T20:12:47.000Z,3569713702,1346187845451599872,1346187845451599872,Twitter Web App,FALSE,NA
How can you use the tenets of NGSS and best learning practices to support a student teacher’s learning?,2021-01-04T20:00:00.000Z,4918507542,1346184625429897217,1346184625429897217,TweetDeck,FALSE,NA
"@GingeraffeBald1 @johannabrown @HannahKiser18 Yes! Model how you want your students to teach science by teaching them that way! Lots of collaboration,  group work, peer teaching, little lecturing. My course used #AST as the text, which compliments NGSS well &amp; opens conversations about equity and social justice in sciences.",2021-01-04T19:56:50.000Z,4918507542,1346183828239355904,1345945131724238848,Twitter for iPhone,FALSE,467699879
@NGSS_tweeps Google slides are definitely a game changer. A single collaborative slideshow actually makes it easier to monitor without having the Ts to pop back into breakout teams.,2021-01-04T19:35:47.000Z,114267794,1346178532586749964,1346139329341448197,Twitter for iPhone,FALSE,4918507542
#ngsschat #edchat Sweet! https://t.co/0pHo5co6u7,2021-01-04T19:24:51.000Z,89859520,1346175778963283968,1346175778963283968,Twitter for Android,FALSE,NA
"This is a critical podcast to listen to or read - considering what it really means for children to do and learn science, particularly seeing the impressive depth and meaning in their questions. #ngsschat https://t.co/QKlDHicDro",2021-01-04T19:15:36.000Z,260773268,1346173454421118976,1346173454421118976,Twitter Web App,FALSE,NA
Looking at snow and watching it melt w/kindergarten Ss @zoom_us under my @plugable microscope. Some students grabbed real snow from outside to hold in their hands. Vincent (my kitty) batted at the snow and even licked it! #FutureReady204 @MissMollyGerber @CowlishawKoalas #NGSS https://t.co/PMjMGfG91V,2021-01-04T18:58:12.000Z,875353578214445056,1346169075093942279,1346169075093942279,Twitter for iPhone,FALSE,NA
A new year calls for new lesson plans. Check out the NGSS Quality Examples of Science Lessons and Units: https://t.co/p4x4MFLzzB @UTeachAlumni,2021-01-04T18:18:00.000Z,4789103719,1346158956217921536,1346158956217921536,TweetDeck,FALSE,NA
@paulandersen Awesome! We got one of these in March. I think you may have recommended in one of your NGSS videos. We have had loads of fun!,2021-01-04T17:31:16.000Z,494120748,1346147198178889734,1346135633702502400,Twitter Web App,FALSE,14358343
@NGSS_tweeps @johannabrown @HannahKiser18 Oooo!! Awesome. Any advice for a adjunct college prof who teaches science methods? What do you wish your prep program taught you?,2021-01-04T17:26:06.000Z,467699879,1346145895369363456,1345945131724238848,Twitter for iPhone,FALSE,4918507542
"@NGSS_tweeps Yep, I agree. I also think the task must be complex enough to warrant a conversation about it. That’s when anchoring the phenomenon routine really helps.",2021-01-04T17:01:58.000Z,262301031,1346139822042337282,1346128254164369409,Twitter for iPhone,FALSE,4918507542
Grade 4 Ss @sheaferoadrocks @clare0803 🚀 into NGSS structure/function information processing inquiry with VR and collaborative Jamboard. @KoehlerTara @JessicaTurnerNY @ASchout10 @ANikolaTech @wcsdtechdr @ABPanzer https://t.co/btVmX9EYiG,2021-01-04T16:57:37.000Z,1062483637931819009,1346138726917955584,1346138726917955584,Twitter for iPhone,FALSE,NA
"@NGSS_tweeps Using the Google suite (especially Docs and Slides), Zoom breakout rooms, and jigsaw activities have been the most successful for me. I take the time to share the documents with group members and myself so can I hop in and comment while they work.",2021-01-04T16:55:36.000Z,262301031,1346138219361013764,1346128254164369409,Twitter for iPhone,FALSE,4918507542
"@Art_ngss Great! Dear 🙂 , Video? get it here https://t.co/HExcRrQzuw ,save this link as bookmark and check it in future whenever you mention me 😀 REF: 1301/6",2021-01-04T16:05:19.000Z,1241925768374038533,1346125564365574144,1252162791110295553,SaveThisVid,FALSE,1310479855713218565
